reference_no,pubyr,author1last,author2last,reftitle,doi,publication_type,complete_aff,grid_code,samp_country,aff_country1,aff_country2,aff_country3,aff_country4,aff_country5,aff_country6,aff_country7,amber
72680,2020,NgÃ´-Muller,Garrouste,"A new Babinskaiidae from the 'mid'-Cretaceous Burmese amber (Insecta, Neuroptera, Myrmeleontoidea)",10.1016/j.cretres.2020.104478,journal article,"UFR Sciences Du Vivant, Universitï¿½ Paris Diderot, Universitï¿½ de Paris, Paris, France;Institut de Systï¿½matique, ï¿½volution, Biodiversitï¿½, ISYEB - UMR 7205 ï¿½ CNRS, MNHN, UPMC, EPHE, Musï¿½um National Dï¿½Histoire Naturelle, Sorbonne Universitï¿½s, Universitï¿½ des Antilles, 57 Rue Cuvier, CP 50, Entomologie, Paris, F-75005, France;Nivolas Vermelle, France;21 Rue de Lacombes, St. Julien de lï¿½Escap, 17400, France",,Myanmar (Burma),France,,,,,,,yes
73308,2020,NgÃ´-Muller,Jouault,Potential new evidences of bee fly parasitoidism on ground-dwelling insects in mid-Cretaceous Burmese amber (Diptera: Bombyliidae),10.1016/j.cretres.2020.104524,journal article,"UFR Sciences du Vivant, Universitï¿½ Paris Diderot, Universitï¿½ de Paris, Paris, France;Institut de Systï¿½matique, ï¿½volution, Biodiversitï¿½, ISYEB ï¿½ UMR 7205 ï¿½ CNRS, MNHN, UPMC, EPHE, Musï¿½um national d'Histoire naturelle, Sorbonne Universitï¿½s, Paris, France;Universitï¿½ de Rennes, CNRS, Gï¿½osciences Rennes, UMR 6118, 35000, Rennes, France",,Myanmar (Burma),France,,,,,,,yes
75087,2020,Ngô-Muller,Engel,"The first predatory dance fly of the subfamily Ocydromiinae with specialized, raptorial legs in mid-Cretaceous amber from Myanmar (Diptera: Hybotidae)",10.1016/j.cretres.2020.104697,journal article,"UFR Sciences du Vivant, Universit<8e> Paris Diderot, Universit<8e> de Paris, Paris, France
b
Institut de Syst<8e>matique, <83>volution, Biodiversit<8e>, ISYEB, UMR 7205, CNRS, MNHN, UPMC, EPHE, Mus<8e>um national d<d5>Histoire naturelle, Sorbonne Universit<8e>s, Universit<8e> des Antilles, 57 rue Cuvier, CP 50, Entomologie, F-75005, Paris, France
c
Division of Entomology, Natural History Museum, and Department of Ecology & Evolutionary Biology, 1501 Crestline Drive <d0> Suite 140, University of Kansas, Lawrence, KS, 66045, USA
d
Nivolas Vermelle, France",,Myanmar (Burma),France,USA,,,,,,yes
73237,2020,Perkovsky,Martynova,"A golden age for ectoparasitoids of Embiodea: Cretaceous Sclerogibbidae (Hymenoptera, Chrysidoidea) from Kachin (Myanmar), Charentes (France) and Choshi (Japan) ambers",10.1016/j.gr.2020.06.004,journal article,"Schmalhausen Institute of Zoology, National Academy of Sciences of Ukraine, B. Khmelnitskogo 15, Kiev, 01601, Ukraine;Borissiak Paleontological Institute, Russian Academy of Sciences, Profsoyuznaya 123, 117868 Moscow, Russia;Entomological Laboratory, Faculty of Agriculture, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka 819-0395, Japan;Tropical Entomology Research Center, Via De Gasperi 10, 01100 Viterbo, Italy;Institute of Geology and Paleontology, Linyi University, Shuangling Rd., Linyi 276000, China;Friedhofstrasse 9, 66894 Kï¿½shofen, Germany;School of Geography and Tourism, Qufu Normal University, Rizhao 276826, China;State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, Chinese Academy of Sciences, Nanjing 210008,China;Univ. Rennes, CNRS, UMR 6118 Gï¿½osciences, F-35000, France",,Myanmar (Burma),Ukraine,Russia,Japan,Italy,China,Germany,France,yes
74196,2020,Perkovsky,Olmi,"A review of the Palaeoanteoninae (Hymenoptera: Dryinidae), with description of the first species from mid-Cretaceous Kachin (Myanmar) amber and comments on its phylogenetic significance",10.1016/j.cretres.2020.104582,journal article,"Schmalhausen Institute of Zoology, NAS of Ukraine, B. Khmelnytskogo 15, Kiev, 01601, Ukraine
b
Borissiak Paleontological Institute, Russian Academy of Sciences, Profsoyuznaya 123, Moscow, 117647, Russia
c
Tropical Entomology Research Center, Via De Gasperi 10, Viterbo, 01100 Italy
d
Friedhofstra<a7>e 9, 66894, K<8a>shofen, Germany
e
Via Pericle Scriboni 28, I-01017, Tuscania, Italy
f
Cherepovets State University, Lunacharsky Prospect 5, Cherepovets, 162600, Vologda region, Russia
g
Department of Agriculture and Forest Science (DAFNE), Tuscia University, Via San Camillo de Lellis, I-01100, Viterbo, Italy",,Myanmar (Burma),Ukraine,Russia,Germany,Italy,,,,yes
71683,2020,Poinar,,"Discoscapidae fam. nov. (Hymenoptera: Apoidea), a new family of stem lineage bees with associated beetle triungulins in mid-Cretaceous Burmese amber",,journal article,NA,,Myanmar (Burma),USA,,,,,,,yes
71863,2020,Poinar,Su,A new genus of crickets (Orthoptera: Gryllidae) in mid-Cretaceous Myanmar amber,,journal article,NA,,Myanmar (Burma),USA,Australia,,,,,,yes
72710,2020,Poinar,,A new genus of terrestrial isopods (Crustacea: Oniscidea: Armadillidae) in Myanmar amber,,journal article,"Department of Integrative Biology, Oregon State University, Corvallis, OR, U",,Myanmar (Burma),USA,,,,,,,yes
72664,2020,Poinar,Vega,"A lacewing bug, Paleoanomala aptenus gen. et sp. nov. (Hemiptera: Tingidae), in mid-Cretaceous Burmese amber",,journal article,"Department of Integrative Biology, Oregon State University, Corvallis, OR, 97331 USA\nSustainable Perennial Crops Laboratory, United States Department of Agriculture, Agricultural Research Service, Beltsville, MD, 20705, USA.",,Myanmar (Burma),USA,,,,,,,yes
74226,2020,Poinar,Vega,A mid-Cretaceous female scale insect (Hemiptera: Sternorrhyncha: Coccomorpha) in Burmese amber,10.11646/zootaxa.4810.3.7,journal article,"Department of Integrative Biology, Oregon State University, Corvallis, OR, 97331 USA\nSustainable Perennial Crops Laboratory, United States Department of Agriculture, Agricultural Research Service, Beltsville, MD, 20705, USA.",,Myanmar (Burma),USA,,,,,,,yes
74812,2020,Poinar,Vega,A new genus of cylindrical bark beetle (Coleoptera: Zopheridae: Colydiinae) in mid-Cretaceous Burmese amber,10.37819/biosis.001.04.0087,journal article,"Department of Integrative Biology, Oregon State University, Corvallis, OR, 97331 USA\nSustainable Perennial Crops Laboratory, United States Department of Agriculture, Agricultural Research Service, Beltsville, MD, 20705, USA.",,Myanmar (Burma),USA,,,,,,,yes
74193,2020,Rasnitsyn,Brothers,"The first plumalexiid wasp (Hymenoptera: Chrysidoidea, Plumalexiidae) from the mid-Cretaceous Burmese amber",10.1016/j.cretres.2020.104568,journal article,"Palaeontological Institute, Russian Academy of Sciences, Moscow 117647, Russia\nNatural History Museum, Cromwell Road, London SW7 5BD, UK\nSchool of Life Sciences, University of KwaZulu-Natal, Pietermaritzburg, Private Bag X01, Scottsville, 3209 South Africa",,Myanmar (Burma),Russia,UK,South Africa,,,,,yes
71484,2020,SchÃƒÂ¤del,MÃƒÂ¼ller,Two remarkable fossil insect larvae from Burmese amber suggest the presence of a terminal filum in the direct stem lineage of dragonflies and damselflies (Odonata),,journal article,"Department of  Biology, Ludwig-Maximilians-Universit<8a>t M<9f>nchen, Gro<a7>haderner Str. 2, 82152 Planegg-Martinsried, Germany.\nFriedhofstr. 9, 66894 K<8a>shofen, Germany.\nGeoBio-Center of  the LMU Munich, Richard-Wagner-Str. 10, 80333 Munich, Germany",,Myanmar (Burma),Germany,,,,,,,yes
74217,2020,Sendi,Hinkelman,"Roach nectarivory, gymnosperm and earliest flower pollination evidence from Cretaceous ambers",10.2478/s11756-019-00412-x,journal article,"Institute of Zoology, Slovak Academy of Sciences, D<9c>bravsk<87> cesta
9, 845 06 Bratislava, Slovakia
2 Faculty of Natural Sciences, Ilkovi_ova 6, 841
04 Bratislava, Slovakia
3 Earth Science Institute, Slovak Academy of Sciences, D<9c>bravsk<87>
cesta 9, P.O. BOX 106, 840 05 Bratislava, Slovakia
4 Faculty of Science, Department of Geology, University of Zagreb,
Horvatovac 102a, 10000 Zagreb, Croatia
5 Amba Projekty, Tich<87> 4, 811 02 Bratislava, Slovakia
6 Laboratory for Applications of Synchrotron Radiation (LAS),
Karlsruhe Institute of Technology (KIT), Kaiserstr. 12,
76131 Karlsruhe, Germany
7 Institute for Photon Science and Synchrotron Radiation (IPS),
Karlsruhe Institute of Technology (KIT),
Hermann-von-Helmholtz-Platz 1,
76344 Eggenstein-Leopoldshafen, Germany",,Myanmar (Burma),Slovakia,Croatia,Germany,,,,,yes
73319,2020,Shang,Wang,"A tiny yuripopovinid true bug (Hemiptera, Pentatomomorpha) from Cenomanian Burmese amber",10.1016/j.cretres.2020.104534,journal article,"a Geological Environmental Monitoring Station of Shandong Province, Jingshan Road, 6 Jinan 250014, China 7 b Institute of Geology and Paleontology, Linyi University, Shuangling Road, Linyi 8 276000, China",cust.017;grid.410747.1,Myanmar (Burma),China,,,,,,,yes
71976,2020,Shcherbakov,,The earliest fully brachypterous auchenorrhynchan from Cretaceous Burmese amber (Homoptera: Fulgoroidea: Jubisentidae),,journal article,NA,,Myanmar (Burma),Russia,,,,,,,yes
74203,2020,Sun,Gao,A new species of the Meropeidae (Insecta: Mecoptera) from mid-Cretaceous Myanmar amber,10.1016/j.cretres.2020.104570,journal article,"School of GeoSciences, Yangtze University, Wuhan, 430100, China
b
State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing, 210008, China
c
Shandong Provincial Key Laboratory of Depositional Mineralization & Sedimentary Minerals, Shandong University of Science and Technology, Qingdao, Shandong, 266590, China
d
University of Science and Technology of China, Hefei, 230026, China",,Myanmar (Burma),China,,,,,,,yes
72485,2020,Tihelka,Huang,A new genus and species of Micromalthidae from Burmese amber (Coleoptera: Archostemata),,journal article,NA,,Myanmar (Burma),UK,China,,,,,,yes
73883,2020,Tihelka,Huang,"Trihelota, a new and unusual helotid beetle genus from mid-Cretaceous Burmese amber (Coleoptera: Helotidae)",10.37520/aemnp.2020.033,journal article,"School of Earth Sciences, University of Bristol, Life Sciences Building, Tyndall Avenue, Bristol, BS8 1TQ, UK\nState Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, Nanjing 210008, China",,Myanmar (Burma),UK,China,,,,,,yes
75164,2020,Tihelka,Huang,A new genus of wounded-tree beetles from mid-Cretaceous northern Myanmar amber (Coleoptera: Nosodendridae),10.1016/j.cretres.2020.104701,journal article,"State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, Nanjing, 210008, China\nSchool of Earth Sciences, University of Bristol, Life Sciences Building, Tyndall Avenue, Bristol, BS8 1TQ, UK",,Myanmar (Burma),China,UK,,,,,,yes
73320,2020,Tribull,Barden,"Hybristodryinus moutesoe (Hymenoptera, Dryinidae), a new species from mid-Cretaceous Kachin (Burmese) amber",10.1016/j.cretres.2020.104528,journal article,"Farmingdale State College (SUNY), 2350 Broadhollow Road, Farmingdale, NY, 11735, USA;New Jersey Institute of Technology, 323 Dr M.L.K. Jr. Blvd, Newark, NJ, 07102, USA;Tropical Entomology Research Center, Via De Gasperi 10, I-01100, Viterbo, Italy",,Myanmar (Burma),USA,Italy,,,,,,yes
74112,2020,Vitali,Legalov,A new fossil genus of false blister beetles (Coleoptera: Oedemeridae) from mid-Cretaceous Burmese amber,10.37819/biosis.001.03.0063,journal article,"a, rue J. P. Huberty, L-1742 Luxembourg, Luxembourg\nInstitute  of  Systematics  and  Ecology  of  Animals,  Siberian  Branch,  Russian  Academy  of  Sciences,  Novosibirsk, Russia",,Myanmar (Burma),Luxembourg,Russia,,,,,,yes
72120,2020,Wichard,MÃƒÂ¼ller,"The philopotamid genus Wormaldia (Insecta, Trichoptera) embedded in mid-Cretaceous Burmese amber",,journal article,NA,,Myanmar (Burma),Germany,China,,,,,,yes
75168,2020,Wichard,Espeland,"New species of caddisflies with bipectinate antennae from Cretaceous Burmese amber (Insecta, Trichoptera: Odontoceratidae, Calamoceratidae)",10.5852/ejt.2020.653,journal article,"Institute of Biology and its Didactics, University of Cologne, Herbert Lewinstrasse 2, 50931 K<9a>ln\nArthropoda Department, Zoological Research Museum Alexander Koenig, Adenauer-Allee 160, 53113 Bonn\nFriedhofstra<a7>e 9, 66894 Kashofen\nState Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing 210008",,Myanmar (Burma),Germany,China,,,,,,yes
72693,2020,Wu,Zhang,New vespids from mid-Cretaceous amber of northern Myanmar provide evidence for the phylogenetic relationships of Priorvespinae (Hymenoptera: Vespidae),10.1016/j.cretres.2020.104495,journal article,"College of Life Sciences and Academy for Multidisciplinary Studies, Capital Normal University, 105 Xisanhuanbeilu, Haidian District, Beijing, 100048, China;Department of Paleobiology, National Museum of Natural History, Smithsonian Institution, Washington, DC, 20013ï¿½7012, USA",,Myanmar (Burma),China,USA,,,,,,yes
74746,2020,Wunderlich,Müller,"New and already described fossil spiders (Araneae) of 20 families in mid and Late Cretaceous Burmese ambers, with notes on spider phylogeny, evolution and classification",,journal article,"69493 Hirschberg, Germany",,Myanmar (Burma),Germany,,,,,,,yes
74185,2020,Xu,Zhang,The first ground cricket (Orthoptera: Trigonidiidae: Nemobiinae) from mid-Cretaceous Burmese amber,10.1016/j.cretres.2020.104481,journal article,"State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, Nanjing 210008, China
b
University of Science and Technology of China, Hefei 230026, China
c
Department of Earth Sciences, Natural History Museum, Cromwell Road, London SW7 5BD, UK",,Myanmar (Burma),China,UK,,,,,,yes
73021,2020,Yoshizawa,Lienhard,â€ Cormopsocidae: A new family of the suborder Trogiomorpha (Insecta: Psocodea) from Burmese amber,10.1111/ens.12414,journal article,"Systematic Entomology, School of Agriculture, Hokkaido University, Sapporo, Japan;Arthropoda Department, Natural History Museum of the City of Geneva, Geneva, Switzerland",,Myanmar (Burma),Japan,Switzerland,,,,,,yes
74210,2020,Zhang,Shih,New Alavesia species from mid-Cretaceous Burmese amber highlight genitalic structural homology (Diptera: Empidoidea: Atelestidae),10.1016/j.cretres.2020.104573,journal article,"College of Life Sciences and Academy for Multidisciplinary Studies, Capital Normal University, 105 Xisanhuanbeilu, Haidian District, Beijing 100048, China\nDepartment of Paleobiology, National Museum of Natural History, Smithsonian Institution, Washington, DC 20013-7012, USA",,Myanmar (Burma),China,USA,,,,,,yes
74586,2020,Zhang,Kopylov,"Burmorussidae, a new family of parasitic wasps (Insecta, Hymenoptera) from mid-Cretaceous Burmese amber",10.1002/spp2.1312,journal article,"School of Geography & Tourism, Qufu Normal University, Rizhao 276826, China\nPalaeontological Institute, Russian Academy of Sciences, Moscow 117647, Russia\nCherepovets State University, Cherepovets, 162600, Russia\nNatural History Museum, London, SW7 5BD, UK\nInstitute of Geology & Paleontology, Linyi University, Linyi 276000, China\nState Key Laboratory of Palaeobiology & Stratigraphy, Nanjing Institute of Geology & Palaeontology, Chinese Academy of Sciences, Nanjing, 210008, China",,Myanmar (Burma),China,Russia,UK,,,,,yes
74624,2020,Zhang,Xie,"A new species of dance fly (Diptera, Empidoidea, Atelestidae) from mid-Cretaceous Burmese amber",10.1016/j.cretres.2020.104660,journal article,"School of Earth Sciences and Key Laboratory of Mineral Resources in Western China (Gansu Province), Lanzhou University, Lanzhou, 730000, China\nState Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Paleontology, CAS, Nanjing, 210008, China",,Myanmar (Burma),China,,,,,,,yes
74207,2020,Zhang,Deng,A new jaw-moth (Lepidoptera: Micropterigidae) from mid-Cretaceous Burmese amber,10.1016/j.cretres.2020.104609,journal article,"Hebei GEO University, 136 Huaiandonglu, Shijiazhuang 050031, China
b
State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, CAS, Nanjing 210008, China
c
College of Life Sciences and Academy for Multidisciplinary Studies, Capital Normal University, Beijing 100048, China",,Myanmar (Burma),China,,,,,,,yes
72691,2020,Zhao,Zhao,The first record of brachypsectrid larva from mid-Cretaceous Burmese amber (Coleoptera: Polyphaga),10.1016/j.cretres.2020.104493,journal article,"Shandong Provincial Key Laboratory of Depositional Mineralization & Sedimentary Minerals, Shandong University of Science and Technology, Qingdao, Shandong, 266590, China;State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing, 210008, China;University of Science and Technology of China, Hefei, 230026, China;Department of Earth Sciences, Natural History Museum, Cromwell Road, London, SW7 5BD, UK;Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266061, China",,Myanmar (Burma),China,UK,,,,,,yes
74628,2020,Zheng,,Odonatans in lowermost Cenomanian Kachin amber: updated review and a new hemiphlebiid damselfly,10.1016/j.cretres.2020.104640,journal article,"State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing, 210008, China\nDepartment of Earth Sciences, The University of Hong Kong, Hong Kong Special Administrative Region, China",,Myanmar (Burma),China,,,,,,,yes
70639,2019,Bai,Chang,New silky lacewings from mid-Cretaceous Burmese amber (Insecta: Neuroptera: Psychopsidae),,journal article,NA,,Myanmar (Burma),China,,,,,,,yes
68472,2019,Beutel,Prokop,Ã¢â‚¬Â Bittacopsocus - a new bizarre genus of Ã¢â‚¬Â Permopsocida (Insecta) from Burmese Cretaceous amber,,journal article,NA,,Myanmar (Burma),Germany,Czech Republic,,,,,,yes
69256,2019,Brooks,Cumming,Remarkable new fossil species of Schistostoma Becker (Diptera: Dolichopodidae: Microphorinae) from mid-Cretaceous Burmese amber,,journal article,NA,,Myanmar (Burma),Canada,USA,,,,,,yes
68482,2019,Cao,Chen,A new genus and a new species of pygmy mole cricket in Cretaceous amber from Burma (Orthoptera: Tridactylidae),,journal article,NA,,Myanmar (Burma),USA,,,,,,,yes
68474,2019,Chen,Su,"Zorotypus hukawngi sp. nov., a fossil winged Zoraptera (Insect)\r\nin Burmese amber",,journal article,NA,,Myanmar (Burma),China,,,,,,,yes
69616,2019,Chen,Su,"A new species of Zorotypus (Insecta, Zoraptera, Zorotypidae) and the earliest known suspicious mating behavior of zorapterans from the mid-Cretaceous amber of northern Myanmar",,journal article,NA,,Myanmar (Burma),China,,,,,,,yes
69254,2019,Ellenberger,Fanti,New Cretaceous soldier beetle (Cantharidae) from Burmese amber with preserved coloration on the elytra,,journal article,NA,,Myanmar (Burma),Germany,Italy,,,,,,yes
71496,2019,Fanti,Damgaard,"New soldier beetles (Cantharidae) from Baltic, Burmese and Dominican ambers of the Anders Damgaard amber collection",,journal article,NA,,Myanmar (Burma),Italy,Denmark,,,,,,yes
71823,2019,Fu,Cai,First Mesozoic procercopids in mid-Cretaceous amber from northern Myanmar (Hemiptera: Cercopoidea),,journal article,NA,,Myanmar (Burma),China,,,,,,,yes
71210,2019,Gao,Yin,New insects feeding on dinosaur feathers in mid-Cretaceous amber,,journal article,NA,,Myanmar (Burma),China,USA,Russia,,,,,yes
70823,2019,Grimaldi,PeÃƒÂ±alver,"Direct evidence for eudicot pollen-feeding in a Cretaceous stinging wasp (Angiospermae; Hymenoptera, Aculeata) preserved in Burmese amber",,journal article,NA,,Myanmar (Burma),USA,Spain,,,,,,yes
70482,2019,HÃƒÂ¡va,,"A new species of Paleoendeitoma Deng, Ã…Å¡lipiÃ…â€žski, Ren & Pang, 2017 (Coleoptera: Zopheridae: Colydiinae) from Upper Cretaceous Burmese amber",,journal article,NA,,Myanmar (Burma),Latvia,Czech Republic,,,,,,yes
70533,2019,Heiss,,"New genus and species of Calisiinae from Cretaceous Burmese amber (Hemiptera, Heteroptera, Aradidae)",,journal article,NA,,Myanmar (Burma),Austria,,,,,,,yes
70797,2019,Huber,Shih,"A new species of Baeomorpha (Hymenoptera, Rotoitidae) from mid-Cretaceous Burmese amber",,journal article,NA,,Myanmar (Burma),Canada,China,,,,,,yes
70198,2019,Jiang,Szwedo,A unique camouflaged mimarachnid planthopper from mid-Cretaceous Burmese amber,,journal article,NA,,Myanmar (Burma),China,Poland,,,,,,yes
70292,2019,Jin,Ã…Å¡lipiÃ…â€žski,"Mesopassandrinae subfam. nov., a basal group of parasitic flat beetle (Coleoptera: Passandridae) from Cretaceous Burmese amber",10.1080/14772019.2019.1584923,journal article,NA,,Myanmar (Burma),China,Australia,,,,,,yes
68224,2019,Lin,Labandeira,Life habits and evolutionary biology of new two-winged long-proboscid scorpionflies from mid-Cretaceous Myanmar amber,,journal article," Key Laboratory of Coal Resources Exploration and Comprehensive Utilization, Ministry of Land and Resources, XiÃ¯Â¿Â½an ",,Myanmar (Burma),China,USA,,,,,,yes
69426,2019,Liu,Qiao,A new species of the aphid family Burmitaphididae (Hemiptera: Sternorrhyncha: Aphidomorpha) from Upper Cretaceous Burmese amber,10.1080/03115518.2019.1579367,journal article,"Xue Liu [katharina0521@foxmail.com], Key Lab of Insect Evolution and Environmental Change, College of Life Sciences, Capital NormalUniversity, 105 Xisanhuanbeilu, Haidian District, Beijing, 100048, China; Gexia Qiao [qiaogx@ioz.ac.cn], Key Laboratory of ZoologicalSystematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, No. 1 Beichen West Road, Chaoyang District, Beijing, 100101,China; Yunzhi Yao[yaoyz100@126.com], Key Lab of Insect Evolution and Environmental Change, College of Life Sciences, Capital NormalUniversity, 105 Xisanhuanbeilu, Haidian District, Beijing 100048, China; Dong Ren [rendong@mail.cnu.edu.cn], Key Lab of Insect Evolutionand Environmental Change, College of Life Sciences, Capital Normal University, 105 Xisanhuanbeilu, Haidian District, Beijing 100048, China.Received 30.11.2018; revised 22.6.2018; accepted 30.12.2018",,Myanmar (Burma),China,,,,,,,yes
70232,2019,Martynova,Olmi,Description of the first sclerogibbid wasp (Hymenoptera: Sclerogibbidae) from Burmese (Myanmar) amber and its phylogenetic significance,10.1080/14772019.2018.1551250,journal article,NA,,Myanmar (Burma),Ukraine,Italy,,,,,,yes
73607,2019,Melo,Lucena,"â€ Chrysobythidae, a new family of chrysidoid wasps from Cretaceous Burmese amber (Hymenoptera, Aculeata)",10.1080/08912963.2019.1570184,journal article,"Departamento de Zoologia, Laboratorio de Biologia Comparada de Hymenoptera, Universidade Federal do Parana, Curitiba, Brazil;bLaboratï¿½riode Biologia Comparada e Abelhas (LBCA), Departamento de Biologia, Faculdade de Filosofia, Ciï¿½ncias e Letras de Ribeirï¿½o Preto, Universidade deSï¿½o Paulo, Sï¿½o Paulo, Brazil",,Myanmar (Burma),Brazil,,,,,,,yes
74860,2019,Miao,Wang,A new species of hell ants (Hymenoptera: Formicidae: Haidomyrmecini) from the Cretaceous Burmese amber,j.issn.1001-6600.2019.02.017,journal article,Unknown,,Myanmar (Burma),Unknown,,,,,,,yes
70536,2019,Moritz,Wesener,The first known fossils of the Platydesmida - an extant American genus in Cretaceous amber from Myanmar (Diplopoda: Platydesmida: Andrognathidae),10.1007/s13127-019-00408-0,journal article,NA,,Myanmar (Burma),Germany,,,,,,,yes
70534,2019,Otto,,"Descriptions of two new elateroid beetles (Coleoptera: Eucnemidae, Elateridae) from Burmese amber",,serial monograph,NA,,Myanmar (Burma),USA,,,,,,,yes
74156,2019,Poinar,Zavortink,Priscoculex burmanicus n. gen. et sp. (Diptera: Culicidae: Anophelinae) from mid-Cretaceous Myanmar amber,10.1080/08912963.2019.1570185,journal article,"Department of Integrative Biology, Oregon State University , Corvallis, OR, USA\nBohart Museum, Department of Entomology and Nematology, University of California , Davis, CA, USA",,Myanmar (Burma),USA,,,,,,,yes
68078,2019,RuÃ…Â¾iÃ„ÂkovÃƒÂ¡,Nel,"New dustywings (Neuroptera, Coniopterygidae) from mid-Cretaceous amber of Myanmar reveal spectacular diversity",,journal article,NA,,Myanmar (Burma),Czech Republic,France,,,,,,yes
71796,2019,Shi,Zhang,An unusual new genus and species of beaded lacewings (Neuroptera: Berothidae) from the mid-Cretaceous Burmese amber,10.11646/palaeoentomology.2.5.9,journal article,NA,,Myanmar (Burma),Unknown,,,,,,,yes
69282,2019,SolÃƒÂ³rzano Kraemer,Cumming,New genera of brachyceran flies (Diptera: Xylomyidae and Apsilocephalidae sensu auctorum) from mid-Cretaceous Hukawng Valley Burmese amber,10.11646/palaeoentomology.2.3.,journal article,"Forschungsinstitut und Naturmuseum Senckenberg, Senckenberganlage 25, 60325 Frankfurt am Main, Germany. monica.solorzano-kraemer@senckenberg.deb Invertebrate Biodiversity, Agriculture and Agri-Food Canada, 960 Carling Avenue, Ottawa, Ontario, Canada K1A 0C",,Myanmar (Burma),Germany,Canada,,,,,,yes
68920,2019,Stoev,Moritz,Dwarfs under dinosaur legs: a new millipede of the order Callipodida (Diplopoda) from Cretaceous amber of Burma,,journal article,NA,,Myanmar (Burma),Bulgaria,Germany,,,,,,yes
71019,2019,Talamas,Johnson,Proterosceliopsidae: A new family of Platygastroidea from Cretaceous amber,10.3897/jhr.73.32256,journal article,NA,,Myanmar (Burma),China,USA,,,,,,yes
71731,2019,Tihelka,Huang,First false darkling beetle from mid-Cretaceous Burmese amber (Coleoptera: Melandryidae),10.1080/03115518.2019.1664635,journal article,NA,,Myanmar (Burma),UK,China,,,,,,yes
69341,2019,Tihelka,Huang,A new genus and tribe of Cretaceous net-winged beetles from Burmese amber (Coleoptera: Elateroidea: Lycidae),10.11646/palaeoentomology.2.3.11,journal article,NA,,Myanmar (Burma),UK,China,,,,,,yes
70735,2019,Tihelka,Huang,Diverse Texas beetles (Coleoptera: Elateroidea: Brachypsectridae) in mid-Cretaceous Burmese amber: sexual dimorphism and palaeoecology,10.11646/palaeoentomology.2.5.16,journal article,NA,,Myanmar (Burma),UK,China,,,,,,yes
70045,2019,Vitali,Ellenberger,"Sparedrus archaicus n. sp., the first false blister beetle (Coleoptera, Oedemeridae) from Burmese amber",,journal article,NA,,Myanmar (Burma),Luxembourg,Germany,,,,,,yes
70126,2019,Wichard,Neumann,"A new bizarre dysoneurid species (Insecta, Trichoptera) in Burmese amber",10.5194/fr-22-51-2019,journal article,NA,,Myanmar (Burma),Germany,,,,,,,yes
69456,2019,Yang,Shi,"A new genus and species of berothids (Insecta, Neuroptera) from the Late Cretaceous Myanmar amber",10.3897/zookeys.864.35271,journal article,NA,,Myanmar (Burma),China,,,,,,,yes
68094,2019,Yin,Kurbatov,"Cretobrachygluta gen. nov., the first and oldest Brachyglutini in mid-Cretaceous amber from Myanmar (Coleoptera: Staphylinidae: Pselaphinae)",10.2478/aemnp-2019-0008,,"Laboratory of Environmental Entomology, College of Life Sciences, Shanghai Normal University, Shanghai, 200234, P. R. China2) Museum of Entomology, All-Russian Plant Quarantine Center, Pogranichnaya 32, Bykovo 140150, Russia3) MusÃ¯Â¿Â½um dÃ¯Â¿Â½histoire naturelle, Case postale 6434, CH-1211 GenÃ¯Â¿Â½ve 6, Switzerland4) CAS Key Laboratory of Economic Stratigraphy and Palaeogeography, Center for Excellence in Life and Paleoenvironment, Nanjing Institute of Geology and Palaeontology, Chinese Academy of Sciences, Nanjing 210008, P. R. China5) School of Earth Sciences, University of Bristol, Life Sciences Building, Tyndall Avenue, Bristol BS8 1TQ, United Kingdom",,Myanmar (Burma),China,Russia,Switzerland,UK,,,,yes
