Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export
J,"Liu, ZH; Slipinski, A; Wang, B; Pang, H",,,,"Liu, Zhenhua; Slipinski, Adam; Wang, Bo; Pang, Hong",,,"The oldest Silvanid beetles from the Upper Cretaceous Burmese amber (Coleoptera, Silvanidae, Brontinae)",CRETACEOUS RESEARCH,,,English,Article,,,,,,Coleoptera; Silvanidae; Brontinae; Burmese amber,GENUS,"The first Cretaceous taxa of Brontini, Cretoliota cornutus gen. et sp. nov. and Protoliota antennatus gen. et sp. nov. are described from the Burmese amber, representing the oldest fossil records of the family Silvanidae. Pleuroceratos burmiticus Poinar and Kirejtshuk, 2008 originally placed in Silvanidae is removed from this family to Cucujoidea, family uncertain. The discovery of a diverse fauna of Brontini in the Upper Cretaceous sheds a new light on the early evolution of Silvanidae and superfamily Cucujoidea. (C) 2019 Elsevier Ltd. All rights reserved.","[Liu, Zhenhua; Slipinski, Adam; Pang, Hong] Sun Yat Sen Univ, Sch Life Sci, Guangdong Higher Educ Inst, State Key Lab Biocontrol,Key Lab Biodivers Dynam, Guangzhou 510275, Guangdong, Peoples R China; [Liu, Zhenhua; Slipinski, Adam] CSIRO Natl Res Collect Australia, Australian Natl Insect Collect, GPO Box 1700, Canberra, ACT 2601, Australia; [Wang, Bo] Chinese Acad Sci, Inst Zool, Key Lab Zool Systemat & Evolut, Beijing 100101, Peoples R China; [Wang, Bo] Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, State Key Lab Palaeobiol & Stratig, 39 East Beijing Rd, Nanjing 210008, Jiangsu, Peoples R China; [Wang, Bo] Chinese Acad Sci, Ctr Excellence Life & Paleoenvironm, 39 East Beijing Rd, Nanjing 210008, Jiangsu, Peoples R China","Pang, H (corresponding author), Sun Yat Sen Univ, Sch Life Sci, Guangdong Higher Educ Inst, State Key Lab Biocontrol,Key Lab Biodivers Dynam, Guangzhou 510275, Guangdong, Peoples R China.",lsshpang@mail.sysu.edu.cn,"Pang, Hong/AAL-7785-2020; Slipinski, Adam/AAZ-2485-2020","Pang, Hong/0000-0002-0585-3577; Slipinski, Adam/0000-0002-1216-8068","Ministry of Science and Technology of the People's Republic of ChinaMinistry of Science and Technology, China [2005DKA21402]; specimen platform of China, teaching specimens sub-platform; Open project of the State Key Laboratory of Biocontrol [2018-04]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [41572010, 41622201, 41688103]; Chinese Academy of SciencesChinese Academy of Sciences [XDPB05]","This project was funded by the following grants awarded to HP: key project of Science-technology basic condition platform from The Ministry of Science and Technology of the People's Republic of China (No. 2005DKA21402); the specimen platform of China, teaching specimens sub-platform, Web, http://mnh.scu.edu.cn/; and AS, Open project of the State Key Laboratory of Biocontrol (Grant No. 2018-04). BW: the National Natural Science Foundation of China (41572010, 41622201, 41688103), and the Chinese Academy of Sciences (XDPB05). We are also grateful to two anonymous reviewers for their comments on the draft of this paper.",,23,1,7,0,5,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,LONDON,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0195-6671,1095-998X,,CRETACEOUS RES,Cretac. Res.,JUN,2019,98,,,,,,1,8,,10.1016/j.cretres.2019.02.002,,,8,Geology; Paleontology,Geology; Paleontology,IA1GB,WOS:000469306200001,,,,,20/07/2021
J,"Jiang, T; Wang, B; Szwedo, J",,,,"Jiang, Tian; Wang, Bo; Szwedo, Jacek",,,The first representative of Progonocimicidae (Hemiptera: Coleorrhyncha) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,,,English,Article,,,,,,Burmese amber; Coleorrhyncha; Progonocimicidae; Gakasha calcaridentata gen. et sp. nov.; Synonymy; New combinations,PLANTHOPPER INSECTS HEMIPTERA; JUMPING PERFORMANCE; BUGS HEMIPTERA; CRETACEOUS CLIMATE; LEG MOVEMENTS; AUCHENORRHYNCHA; CHINA; MECHANISMS; LEAFHOPPER; MUSCLES,Gakasha calcaridentata gen. et sp. nov. representing Progonocimicidae: Cicadocorinae (moss bugs) is described. It is the first record of Coleorrhyncha in mid-Cretaceous Burmese amber and the second in fossil resins from the Cretaceous. The taxonomic position of some taxa placed in the genus Mesocimex is analysed and new placements proposed. The fossil record of Cicadocorinae is discussed. (C) 2018 Published by Elsevier Ltd.,"[Jiang, Tian] China Univ Geosci Beijing, 29 Xueyuan Rd, Beijing 100083, Peoples R China; [Wang, Bo] Chinese Acad Sci, Ctr Excellence Life & Paleoenvironm, Nanjing Inst Geol & Palaeontol, State Key Lab Palaeobiol & Stratig, 39 East Beijing Rd, Nanjing 210008, Jiangsu, Peoples R China; [Wang, Bo] Shandong Univ Sci & Technol, Shandong Prov Key Lab Deposit Mineralizat & Sedim, Qingdao 266590, Shandong, Peoples R China; [Szwedo, Jacek] Univ Gdansk, Fac Biol, Dept Invertebrate Zool & Parasitol, Lab Evolutionary Entomol, 59 Wita Stwosza St, PL-80308 Gdansk, Poland; [Szwedo, Jacek] Univ Gdansk, Fac Biol, Dept Invertebrate Zool & Parasitol, Museum Amber Inclus, 59 Wita Stwosza St, PL-80308 Gdansk, Poland","Szwedo, J (corresponding author), Univ Gdansk, Fac Biol, Dept Invertebrate Zool & Parasitol, Lab Evolutionary Entomol, 59 Wita Stwosza St, PL-80308 Gdansk, Poland.; Szwedo, J (corresponding author), Univ Gdansk, Fac Biol, Dept Invertebrate Zool & Parasitol, Museum Amber Inclus, 59 Wita Stwosza St, PL-80308 Gdansk, Poland.",jiangtian@cugb.edu.cn; bowang@nigpas.ac.cn; jacek.szwedo@biol.ug.edu.pl,"Szwedo, Jacek/O-1442-2019; Szwedo, Jacek/B-4774-2013","Szwedo, Jacek/0000-0002-2796-9538; Szwedo, Jacek/0000-0002-2796-9538","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [41702018, 41790452, 41572010, 41622201, 41688103]; State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, CASChinese Academy of Sciences [173112]; China Postdoctoral Science FoundationChina Postdoctoral Science Foundation [2017M610955]; Chinese Academy of SciencesChinese Academy of Sciences [XDB26000000]; Chinese Academy of Sciences President's International Fellowship Initiative [2017VBA0024]","This research was supported by the National Natural Science Foundation of China (41702018, 41790452), State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology, CAS (No.173112) and the China Postdoctoral Science Foundation (No. 2017M610955) awarded to TJ, the National Natural Science Foundation of China (41572010, 41622201, 41688103) and the Strategic Priority Research Program (B) of the Chinese Academy of Sciences (XDB26000000) awarded to BW, and it was also supported by Chinese Academy of Sciences President's International Fellowship Initiative (No. 2017VBA0024) awarded to JS. We wish to thank the reviewers and Dr. Edmund A. Jarzembowski for their valuable comments on our paper. Special thanks to Mr. Blazej Bojarski (Museum of Amber Inclusions UG) and Professor Dany Azar (Lebanese University) for their generous help and assistance during preparation of the amber specimen.",,114,1,3,3,15,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,LONDON,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0195-6671,1095-998X,,CRETACEOUS RES,Cretac. Res.,JAN,2019,93,,,,,,346,359,,10.1016/j.cretres.2018.09.018,,,14,Geology; Paleontology,Geology; Paleontology,HE6FI,WOS:000453498300029,,,,,20/07/2021
J,"Fu, YZ; Huang, DY",,,,"Fu, Yanzhe; Huang, Diying",,,New sinoalids in mid-Cretaceous amber from northern Myanmar (Insecta: Hemiptera: Cercopoidea),CRETACEOUS RESEARCH,,,English,Article,,,,,,Sinoalidae; Mid-Cretaceous; Burmese amber; New taxa; Palaeodiversity,BURMESE AMBER; FROGHOPPER; MIDDLE; COLEOPTERA; EVOLUTION; CHINA; GENUS; AGE,"Here we describe two new genera and two new species of the extinct froghopper family Sinoalidae, Paraornatiala daidaleos gen. et sp. nov., and Ctetosinoala tetraspina gen. et sp. nov., from the midCretaceous amber of Myanmar. Cretosinoala resembles Sinoala from the Middle-Upper Jurassic (ca. 165 Ma) Daohugou beds (Yanliao biota, China) based on its wing venation. Paraornatiala shares several characters with Ornatiala and Jiaotouia but provides two peculiar features that are unknown in Sinoalidae: apex of metafemur armed with a distal spine, and vein RA of tegmen single-branched. Additionally, our discovery increases the documented palaeodiversity of sinoalids, confirming the high morphological disparity of Sinoalidae in mid-Cretaceous. (C) 2019 Elsevier Ltd. All rights reserved.","[Fu, Yanzhe; Huang, Diying] Chinese Acad Sci, State Key Lab Palaeobiol & Stratig, Ctr Excellence Life & Paleoenvironm, Nanjing Inst Geol & Palaeontol, Nanjing 210008, Jiangsu, Peoples R China; [Fu, Yanzhe] Univ Sci & Technol China, Hefei 230026, Anhui, Peoples R China","Huang, DY (corresponding author), Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, 39 East Beijing Rd, Nanjing 210008, Jiangsu, Peoples R China.",dyhuang@nigpas.ac.cn,,,"Second Tibetan Plateau Scientific Expedition and Research [2019QZKK0706]; Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDB26000000, XDB18000000]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [41688103]","We sincerely thank two anonymous referees for their useful comments on the first version of the paper. This work was supported by the Second Tibetan Plateau Scientific Expedition and Research (2019QZKK0706), Strategic Priority Research Program of the Chinese Academy of Sciences (XDB26000000 and XDB18000000), and the National Natural Science Foundation of China (41688103).",,36,5,7,1,9,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,LONDON,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0195-6671,1095-998X,,CRETACEOUS RES,Cretac. Res.,DEC,2019,104,,,,,,,,104187,10.1016/j.cretres.2019.07.017,,,9,Geology; Paleontology,Geology; Paleontology,JB1JI,WOS:000488316300015,,,,,20/07/2021
J,"Huang, DY; Fu, YZ; Nel, A",,,,"Huang, Diying; Fu, Yanzhe; Nel, Andre",,,"The first amber stenophlebiid damsel-dragonfly (Odonata, Epiproctophora, Stenophlebiidae) from mid-Cretaceous amber of northern Myanmar",CRETACEOUS RESEARCH,,,English,Article,,,,,,Insecta; Odonata; Stenophlebiidae; Burmese amber; gen. et sp. nov.,,"Burmastenophlebia flecki gen. et sp. nov., first stenophlebiid damsel-dragonfly in mid-Cretaceous Burmese amber is described and illustrated. It allows to show structures proper to this family, previously unknown. In particular, the subnodus is enforced by a dorsal chitinous bracket and the nodal furrow is very weak, suggesting that the stenophlebiid nodal complex is very particular and did not functioned as in other Odonata. (C) 2018 Elsevier Ltd. All rights reserved.","[Huang, Diying] Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, Ctr Excellence Life & Paleoenvironm, State Key Lab Palaeobiol & Stratig, Nanjing 210008, Jiangsu, Peoples R China; [Fu, Yanzhe] Univ Sci & Technol China, Hefei 230026, Anhui, Peoples R China; [Nel, Andre] Sorbonne Univ, CNRS, Inst Systemat Evolut Biodivers ISYEB, Museum Natl Hist Nat,EPHE, 57 Rue Cuvier,CP 50, F-75005 Paris, France","Nel, A (corresponding author), Sorbonne Univ, CNRS, Inst Systemat Evolut Biodivers ISYEB, Museum Natl Hist Nat,EPHE, 57 Rue Cuvier,CP 50, F-75005 Paris, France.",anel@mnhn.fr,,,"Strategic Priority Research Program of Chinese Academy of SciencesChinese Academy of Sciences [XDB26000000, XDB18000000]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [41688103]","We sincerely thank two anonymous referees for their efficient help in the first version of the paper. This project was supported by the Strategic Priority Research Program of Chinese Academy of Sciences, grant No. XDB26000000 and XDB18000000, and National Natural Science Foundation of China (grant No. 41688103).",,24,3,7,0,11,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,LONDON,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0195-6671,1095-998X,,CRETACEOUS RES,Cretac. Res.,FEB,2019,94,,,,,,40,44,,10.1016/j.cretres.2018.10.008,,,5,Geology; Paleontology,Geology; Paleontology,HE6CP,WOS:000453491200004,,,,,20/07/2021
J,"Poinar, G",,,,"Poinar, George, Jr.",,,A new genus of moths (Lepidoptera: Gracillarioidea: Douglasiidae) in Myanmar amber,HISTORICAL BIOLOGY,,,English,Article,,,,,,Tanyglossus orectometopus n; gen; et sp; Myanmar amber; mid-Cretaceous; Gracillarioidea; Lepidoptera,BURMESE AMBER; FLOWER,"A new genus and species of moths, Tanyglossus orectometopus n. gen. et sp. (Lepidoptera: Gracillarioidea), is described from mid-Cretaceous Myanmar amber. Autapomorphies for the new genus are small size (body length of only 0.9 mm), long proboscis greater than body length, presence of ocelli, 3-segmented porrect labial palps, 5-segmented curved maxillary palps, no eye cap, lanceolate wings with reduced venation and a body and wing covering of several types of scales. Based on the available characters, the fossil is placed in the small, aberrant family Douglasiidae and represents the first fossil member of this family. This study adds to our scant knowledge of the diversity of Mesozoic Glossata.","[Poinar, George, Jr.] Oregon State Univ, Dept Integrat Biol, Corvallis, OR 97331 USA","Poinar, G (corresponding author), Oregon State Univ, Dept Integrat Biol, Corvallis, OR 97331 USA.",poinarg@science.oregonstate.edu,,,,,,20,2,4,1,6,TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",0891-2963,1029-2381,,HIST BIOL,Hist. Biol.,Aug-09,2019,31,7,,,,,898,902,,10.1080/08912963.2017.1402016,,,5,Biology; Paleontology,Life Sciences & Biomedicine - Other Topics; Paleontology,IF4BI,WOS:000473026400011,,,,,20/07/2021
J,"Zheng, DR; Nel, A; Zhang, HC; Chang, SC; Jarzembowski, EA; Zhuo, D; Wang, B",,,,"Zheng, Daran; Nel, Andre; Zhang, Haichun; Chang, Su-Chin; Jarzembowski, Edmund A.; Zhuo, De; Wang, Bo",,,A highly diverse coenagrionoid damselfly group (Odonata: Zygoptera: Burmacoenagrionidae fam. nov.) from mid-Cretaceous Burmese amber,JOURNAL OF SYSTEMATIC PALAEONTOLOGY,,,English,Article,,,,,,Coenagrionoidea; Zygoptera; Odonata; Albian; Cretaceous; Burmese amber,INSECTA; EOCENE; PLATYCNEMIDIDAE; DRAGONFLIES; EVOLUTION; FOSSILS; GENERA,"The damselfly superfamily Coenagrionoidea is the largest zygopteran group, comprising three-fifths of all extant damselfly species. The Mesozoic fossil record of this superfamily is sparse, whilst it is relatively common in Burmese amber. A new coenagrionoid family, Burmacoenagrionidae Zheng et al., fam. nov., is established here based on four new species in three new genera: Burmacoenagrion pretiosus Zheng et al. gen. et sp. nov., Burmachistigma cheni Zheng et al. gen. et sp. nov., Electrocoenagrion elongatum Zheng et al. gen. et sp. nov. and Electrocoenagrion forficatum Zheng et al. gen. et sp. nov. The previously described damselfly genus, Burmagrion Mostel et al., 2017, is transferred to this family. Burmacoenagrionidae Zheng et al. fam. nov. has a long pterostigma covering 3-5 cells, pigmented wings and a sigmoidally curved RA and RP1 distal of the pterostigma, differing from other coenagrionoid damselflies. Until now, this is the most diverse damselfly family reported from Burmese amber, showing that the Coenagrionoidea were already highly diversified 100 million years ago.","[Zheng, Daran; Zhang, Haichun; Jarzembowski, Edmund A.; Wang, Bo] Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, State Key Lab Palaeobiol & Stratig, Nanjing, Jiangsu, Peoples R China; [Zheng, Daran; Chang, Su-Chin] Univ Hong Kong, Dept Earth Sci, Hong Kong, Peoples R China; [Nel, Andre] Sorbonne Univ, ISYEB UMR 7205 CNRS, Inst Systemat Evolut Biodiversit, MNHN,UPMC,EPHE, Paris, France; [Jarzembowski, Edmund A.] Nat Hist Museum, Dept Earth Sci, London, England; [Zhuo, De] Goglio Tianjin Packaging Co Ltd, Tianjin, Peoples R China; [Wang, Bo] Chinese Acad Sci, Inst Zool, Key Lab Zool Systemat & Evolut, Beijing, Peoples R China","Zheng, DR (corresponding author), Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, State Key Lab Palaeobiol & Stratig, Nanjing, Jiangsu, Peoples R China.; Zheng, DR (corresponding author), Univ Hong Kong, Dept Earth Sci, Hong Kong, Peoples R China.",dranzheng@gmail.com,,,"National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [41572010, 41622201, 41688103]; Chinese Academy of SciencesChinese Academy of Sciences [XDPB05]; Youth Innovation Promotion Association of the Chinese Academy of Sciences [2011224]; HKU Seed Funding Program for Basic ResearchUniversity of Hong Kong [201210159058]; Leverhulme Emeritus FellowshipLeverhulme Trust","We offer our sincere gratitude to the editors and two anonymous reviewers for the very useful comments on the earlier version of the manuscript. This research was supported by the National Natural Science Foundation of China (41572010, 41622201, 41688103), Chinese Academy of Sciences (XDPB05), Youth Innovation Promotion Association of the Chinese Academy of Sciences (2011224) and the HKU Seed Funding Program for Basic Research (201210159058). EAJ gratefully acknowledges a Leverhulme Emeritus Fellowship.",,36,3,7,0,4,TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",1477-2019,1478-0941,,J SYST PALAEONTOL,J. Syst. Palaeontol.,Feb-01,2019,17,3,,,,,239,253,,10.1080/14772019.2017.1406010,,,15,Evolutionary Biology; Paleontology,Evolutionary Biology; Paleontology,HH8SU,WOS:000456003700002,,,,,20/07/2021
J,"Chen, ZT",,,,"Chen, Zhi-Teng",,,A remarkable new stonefly with bisexual structures in mid-Cretaceous Burmese amber (Insecta: Perlidae),CRETACEOUS RESEARCH,,,English,Article,,,,,,Plecoptera; Perlidae; Burmacroneuria; Burmese amber; Mid-cretaceous,LARGUSOPERLA PLECOPTERA PERLIDAE; FOSSIL GENUS,"A remarkable new stonefly, Burmacroneuria projecta gen. et sp. nov. is described and illustrated from mid-Cretaceous Burmese amber. The new fossil genus belongs to the species rich family Perlidae and is perhaps a new member of subfamily Acroneuriinae. It is distinguished from all other perlids by the female subgenital plate partially forming a stalked hammer. Females of ancient Perlidae might be able to produce drumming signals to attract the males for mating. (C) 2019 Elsevier Ltd. All rights reserved.","[Chen, Zhi-Teng] Jiangsu Univ Sci & Technol, Sch Grain Sci & Technol, Zhenjiang 212004, Jiangsu, Peoples R China","Chen, ZT (corresponding author), Jiangsu Univ Sci & Technol, Sch Grain Sci & Technol, Zhenjiang 212004, Jiangsu, Peoples R China.",741208116@qq.com,,,,,,28,3,3,0,1,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,LONDON,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0195-6671,1095-998X,,CRETACEOUS RES,Cretac. Res.,DEC,2019,104,,,,,,,,104189,10.1016/j.cretres.2019.07.019,,,5,Geology; Paleontology,Geology; Paleontology,JB1JI,WOS:000488316300011,,,,,20/07/2021
J,"Fu, YZ; Szwedo, J; Azar, D; Huang, DY",,,,"Fu, Yanzhe; Szwedo, Jacek; Azar, Dany; Huang, Diying",,,A second species of Dachibangus (Hemiptera: Fulgoromorpha: Mimarachnidae) in mid-Cretaceous amber from northern Myanmar,CRETACEOUS RESEARCH,,,English,Article,,,,,,Planthopper; Burmese amber; New taxa; Palaeodiversity; Dachibangus formosus sp. nov,BURMESE AMBER; HOMOPTERA; PLANTHOPPER; FULGOROIDEA; INSECTA; FAMILY,"A fourth species of the mimarachnid planthoppers and a second species of Dachibangus is described and illustrated base on a well-preserved forewing in mid-Cretaceous amber of northern Myanmar. Dachibangus formosus sp. nov. can be distinguished from the type species Dachibangus trimaculatus Jiang, Szwedo et Wang, 2018 by the size of tegmen and its venation characters. Diagnostic features of the genus Dachibangus are reviewed. The new discovery further increases the documented palaeodiversity and morphological diversification of the Cretaceous mimarachnids. (C) 2019 Elsevier Ltd. All rights reserved.","[Fu, Yanzhe; Huang, Diying] Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, Ctr Excellence Life & Paleoenvironm, State Key Lab Palaeobiol & Stratig, Nanjing 210008, Jiangsu, Peoples R China; [Fu, Yanzhe] Univ Sci & Technol China, Hefei 230026, Anhui, Peoples R China; [Szwedo, Jacek] Univ Gdansk, Fac Biol, Dept Invertebrate Zool & Parasitol, Lab Evolutionary Entomol, 59 Wita Stwosza St, PL-80308 Gdansk, Poland; [Szwedo, Jacek] Univ Gdansk, Fac Biol, Dept Invertebrate Zool & Parasitol, Museum Amber Inclus, 59 Wita Stwosza St, PL-80308 Gdansk, Poland; [Azar, Dany] Lebanese Univ, Fac Sci 2, Dept Nat Sci, POB 26110217, Fanar, Matn, Lebanon","Huang, DY (corresponding author), Chinese Acad Sci, Nanjing Inst Geol & Palaeontol, 39 East Beijing Rd, Nanjing 210008, Jiangsu, Peoples R China.",dyhuang@nigpas.ac.cn,"Azar, Dany/AAF-7387-2020; Szwedo, Jacek/O-1442-2019; Szwedo, Jacek/B-4774-2013","Azar, Dany/0000-0002-4485-197X; Szwedo, Jacek/0000-0002-2796-9538; Szwedo, Jacek/0000-0002-2796-9538","Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDB26000000, XDB18000000]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [41688103]; Second Tibetan Plateau Scientific Expedition Program [XDA20070300]","This work was supported by the Strategic Priority Research Program of the Chinese Academy of Sciences (XDB26000000 and XDB18000000), the National Natural Science Foundation of China (41688103), the Second Tibetan Plateau Scientific Expedition Program (XDA20070300).",,25,3,4,0,4,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,LONDON,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0195-6671,1095-998X,,CRETACEOUS RES,Cretac. Res.,NOV,2019,103,,,,,,,,104170,10.1016/j.cretres.2019.06.016,,,5,Geology; Paleontology,Geology; Paleontology,IU5QT,WOS:000483643100012,,,,,20/07/2021
J,"Chen, XY; Su, GF",,,,"Chen, Xin-Yu; Su, Gui-Fen",,,"Zorotypus hukawngi sp. nov., a Fossil Winged Zoraptera (Insect) in Burmese Amber",ZOOTAXA,,,English,Article,,,,,,Zoraptera; Zorotypidae; Zorotypus; new species; Burmese amber; Cretaceous; Cenomanian,SP N.,"A new species of the insect order Zoraptera, Zorotypus hukawngi sp. n., is described and figured based on one not well-preserved specimen in mid-Cretaceous amber from the Hukawng Valley in northern Myanmar. Compared to known extinct zorapterans, the new species is readily distinguished by characters of the mesonotum, wings, and the spination of the metafemur and metatibia.","[Chen, Xin-Yu; Su, Gui-Fen] CSCLR, Sanhe 065201, Hebei, Peoples R China","Chen, XY (corresponding author), CSCLR, Sanhe 065201, Hebei, Peoples R China.",64870422@qq.com,,,China Geological SurveyChina Geological Survey [12120115054101],The authors thank Dr. Smirnova T. N. (Moscow State University) and Dr. Yin Z.-W. (Shanghai Normal University) for the helpful comments. This work received the support of the China Geological Survey (Grant No. 12120115054101).,,12,1,1,1,8,MAGNOLIA PRESS,AUCKLAND,"PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND",1175-5326,1175-5334,,ZOOTAXA,Zootaxa,Mar-26,2019,4571,2,,,,,263,269,,10.11646/zootaxa.4571.2.6,,,7,Zoology,Zoology,HQ5FS,WOS:000462436000006,31715819,,,,20/07/2021
J,"Martynova, KV; Olmi, M; Muller, P; Perkovsky, EE",,,,"Martynova, Kateryna V.; Olmi, Massimo; Mueller, Patrick; Perkovsky, Evgeny E.",,,Description of the first sclerogibbid wasp (Hymenoptera: Sclerogibbidae) from Burmese (Myanmar) amber and its phylogenetic significance,JOURNAL OF SYSTEMATIC PALAEONTOLOGY,,,English,Article,,,,,,Sclerogibba cretacica; Cretaceous; Chrysidoidea; Cenomanian; evolution; new synonymy,WEBSPINNERS; ANTS; EMBIOPTERA; ANCESTORS; GENUS; AGE,"Sclerogibbid wasps (Hymenoptera: Chrysidoidea: Sclerogibbidae) are the obligate parasitoids of webspinners (Embiidina) in extant fauna; fossil sclerogibbids are very rare, while fossil webspinners are more abundant. Burmese amber is the oldest Lagerstatte where both diverse webspinners and sclerogibbids are found. In this paper, Sclerogibba cretacica sp. nov. is described from Late Cretaceous Burmese (Myanmar) amber. The new species, assigned to the extant genus Sclerogibba Riggio & De Stefani-Perez, 1888, is the fourth known fossil species of Sclerogibbidae and the first known fossil male of this family. Moreover, this is the first described sclerogibbid wasp from Burmese amber and the first known fossil species of Sclerogibba. Sclerogibba cretacica is similar to extant sclerogibbid wasps with a closed discoidal cell from South-East Asia, but differs in the shape of the discoidal cell and small number of antennomeres (19 only). The phylogenetic significance of this species is discussed. Evolutionary trends in the antennal polymorphism of sclerogibbid wasps since the Cretaceous are outlined. The records of fossil webspinners, their ancestors (Alexrasniidae) and sclerogibbids suggest a Laurasian origin of Sclerogibbidae. The genus Protosclerogibba Olmi, Marletta, Guglielmino & Speranza, 2016 is synonymized with Herpetosphex Arnold, 1940 (Pompilidae) and Protosclerogibba australis Olmi, Marletta, Guglielmino & Speranza, 2016 is synonymized with Herpetosphex staphylinoides Arnold, 1940 (new synonyms).","[Martynova, Kateryna V.; Perkovsky, Evgeny E.] Natl Acad Sci Ukraine, Schmalhausen Inst Zool, B Khmelnitskogo 15, UA-01601 Kiev, Ukraine; [Olmi, Massimo] Trop Entomol Res Ctr, Via Gasperi 10, I-01100 Viterbo, Italy; [Mueller, Patrick] Friedhofstr 9, D-66894 Kashofen, Germany","Martynova, KV (corresponding author), Natl Acad Sci Ukraine, Schmalhausen Inst Zool, B Khmelnitskogo 15, UA-01601 Kiev, Ukraine.",martynova_kv@ukr.net,,"Martynova, Kateryna/0000-0002-9896-3504; Perkovsky, Evgeny/0000-0002-7959-4379",,,,56,9,11,1,3,TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",1477-2019,1478-0941,,J SYST PALAEONTOL,J. Syst. Palaeontol.,Nov-02,2019,17,21,,,,,1571,1583,,10.1080/14772019.2018.1551250,,,13,Evolutionary Biology; Paleontology,Evolutionary Biology; Paleontology,IY0DO,WOS:000486061800001,,,,,20/07/2021
